artist_name,artist_url,event_datetime,event_venue.region,event_url,event_venue.url,event_venue.city,event_venue.latitude,event_venue.longitude,event_venue.name,event_id,event_venue.id
Sister Sin,http://www.bandsintown.com/SisterSin,2011-04-03T18:00:00,01,http://www.bandsintown.com/event/3930263?app_id=epfl,http://www.bandsintown.com/venue/43060,Pratteln,47.5166667,7.6833333,Z7,3930263,43060
GRAVE DIGGER,http://www.bandsintown.com/GraveDigger,2011-04-03T18:00:00,01,http://www.bandsintown.com/event/3930263?app_id=epfl,http://www.bandsintown.com/venue/43060,Pratteln,47.5166667,7.6833333,Z7,3930263,43060
Paul Kuhn Trio,http://www.bandsintown.com/PaulKuhnTrio,2011-04-03T19:00:00,25,http://www.bandsintown.com/event/4259120?app_id=epfl,http://www.bandsintown.com/venue/10674,Zurich,47.3666667,8.55,Moods,4259120,10674
Gaby Goldberg,http://www.bandsintown.com/GabyGoldberg,2011-04-03T19:00:00,25,http://www.bandsintown.com/event/4259120?app_id=epfl,http://www.bandsintown.com/venue/10674,Zurich,47.3666667,8.55,Moods,4259120,10674
Mindead,http://www.bandsintown.com/Mindead,2011-04-03T19:00:00,Etr,http://www.bandsintown.com/event/4074860?app_id=epfl,http://www.bandsintown.com/venue/594255,Zurich,47.383297,8.539312,Dynamo,4074860,594255
Ill Niño,http://www.bandsintown.com/IllNi%C3%B1o,2011-04-03T19:00:00,Etr,http://www.bandsintown.com/event/4074860?app_id=epfl,http://www.bandsintown.com/venue/594255,Zurich,47.383297,8.539312,Dynamo,4074860,594255
Breed 77,http://www.bandsintown.com/Breed77,2011-04-03T19:00:00,Etr,http://www.bandsintown.com/event/4074860?app_id=epfl,http://www.bandsintown.com/venue/594255,Zurich,47.383297,8.539312,Dynamo,4074860,594255
The Young Gods,http://www.bandsintown.com/TheYoungGods,2011-04-03T19:00:00,Lucerne,http://www.bandsintown.com/event/4121058?app_id=epfl,http://www.bandsintown.com/venue/334152,Lucerne,47.044019,8.311746,Schüür,4121058,334152
Nik Bärtsch's Ronin,http://www.bandsintown.com/NikB%C3%A4rtsch%27sRonin,2011-04-04T09:00:00,ZH,http://www.bandsintown.com/event/4257336?app_id=epfl,http://www.bandsintown.com/venue/697731,Zurich,47.3882217,8.5194702,Exil,4257336,697731
The Formers,http://www.bandsintown.com/TheFormers,2011-04-04T19:00:00,Switzerland,http://www.bandsintown.com/event/6953157?app_id=epfl,http://www.bandsintown.com/venue/889459,Zurich,47.37706,8.53955,Bazillus,6953157,889459
