,Artist,City,Date,Genre,Venue,origin
174,Gone Hepsville, Pontresina,2017-01-05,"Rock, Indie, Punk, Heavy Metal, Gothic",Pitschna Scena,
175,DJs Steve Supreme, Zürich,2017-01-05,"Hip Hop, R'n'B",Mascotte,
176,Costa, Zürich,2017-01-05,"Hip Hop, R'n'B",Mascotte,
177,Intresst, Zürich,2017-01-05,"Hip Hop, R'n'B",Mascotte,
178,Pezzo Acoustic, Luzern,2017-01-05,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers,
179,DJ Metal Heart, Luzern,2017-01-05,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers,
180,Superterz, Zürich,2017-01-05,"Jazz, Blues, Soul",Photobastei,
181,DJ EKR, Zürich,2017-01-05,"Hip Hop, R'n'B",Gonzo,
182,DJ Manuel, Zürich,2017-01-04,"Ragga, Reggae, African Music, Dancehall",Vior Club,
183,Superterz, Zürich,2017-01-04,"Jazz, Blues, Soul",Photobastei,
184,Imperio, Luzern,2017-01-04,"Rock, Indie, Punk, Heavy Metal, Gothic",The Bruch Brothers,
185,Phil Hayes & The Trees,,2017-01-04,Pop,Grabenhalle,
186,DJs Urbano, Luzern,2017-01-04,"Ragga, Reggae, African Music, Dancehall",Bar 59,
187,Jose Luis, Luzern,2017-01-04,"Ragga, Reggae, African Music, Dancehall",Bar 59,
188,Panthera, Luzern,2017-01-04,"Ragga, Reggae, African Music, Dancehall",Bar 59,
189,DJ Don Luca, Luzern,2017-01-02,"Hip Hop, R'n'B",Roadhouse,
190,Superterz, Zürich,2017-01-02,"Jazz, Blues, Soul",Photobastei,
191,Live: Patricia Nora, Zürich,2017-01-02,"Ragga, Reggae, African Music, Dancehall",Kaufleuten,Argentina
192,Nik Bärtsch's Ronin, Zürich,2017-01-02,"Hip Hop, R'n'B",Exil,
193,Joel Gilardini, Zürich,2017-01-02,"Hip Hop, R'n'B",Exil,
194,Raw Vision, Zürich,2017-01-02,"Jazz, Blues, Soul",Labor,
195,Christoph Grab, Zürich,2017-01-02,"Jazz, Blues, Soul",Labor,
196,Ronny Graupe, Zürich,2017-01-02,"Jazz, Blues, Soul",Labor,
197,Thomas Lüscher, Zürich,2017-01-02,"Jazz, Blues, Soul",Labor,
198,Lukas Traxel, Zürich,2017-01-02,"Jazz, Blues, Soul",Labor,
199,Maxime Paratte, Zürich,2017-01-02,"Jazz, Blues, Soul",Labor,
200,Superterz, Zürich,2017-01-01,"Jazz, Blues, Soul",Photobastei,
201,DJs Ali Baba Sound System, Zürich,2017-01-01,"Hip Hop, R'n'B",Moods,
202,K.O.S Crew, Zürich,2017-01-01,"Hip Hop, R'n'B",Moods,
203,Karaoke Till Death,,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Grabenhalle,
204,The Vicos,,2016-12-31,"Rock, Indie, Punk, Heavy Metal, Gothic",Grabenhalle,
