artist_name,artist_url,event_datetime,event_id,event_url,event_venue.city,event_venue.id,event_venue.latitude,event_venue.longitude,event_venue.name,event_venue.region,event_venue.url
SPORTEXPRESS HCD Fancar nach Davos,http://www.bandsintown.com/SportexpressHcdFancarNachDavos,2012-01-31T17:00:00,4915924,http://www.bandsintown.com/event/4915924?app_id=epfl,Luzern,840863,47.049081799999996,8.313788,Luzern,,http://www.bandsintown.com/venue/840863
Vaillant Arena,http://www.bandsintown.com/VaillantArena,2012-01-31T17:00:00,4915924,http://www.bandsintown.com/event/4915924?app_id=epfl,Luzern,840863,47.049081799999996,8.313788,Luzern,,http://www.bandsintown.com/venue/840863
Portugal. The Man,http://www.bandsintown.com/Portugal.TheMan,2012-01-31T19:00:00,4881718,http://www.bandsintown.com/event/4881718?app_id=epfl,Zurich,1290820,47.3666667,8.55,Maghall,25,http://www.bandsintown.com/venue/1290820
Live Multivision Fotoreportage,http://www.bandsintown.com/LiveMultivisionFotoreportage,2012-01-31T20:00:00,4924292,http://www.bandsintown.com/event/4924292?app_id=epfl,Illnau/Effretikon,843343,47.4273144,8.6857837,Stadthaussaal,,http://www.bandsintown.com/venue/843343
Sutter,http://www.bandsintown.com/Sutter,2012-01-31T20:00:00,4924294,http://www.bandsintown.com/event/4924294?app_id=epfl,Baden,908926,47.473031799999994,8.3086186,Roter Turm,,http://www.bandsintown.com/venue/908926
"Pfändler ""Glanz",http://www.bandsintown.com/Pf%C3%A4ndler%22glanz,2012-01-31T20:00:00,4924294,http://www.bandsintown.com/event/4924294?app_id=epfl,Baden,908926,47.473031799999994,8.3086186,Roter Turm,,http://www.bandsintown.com/venue/908926
"Gloria""",http://www.bandsintown.com/Gloria%22,2012-01-31T20:00:00,4924294,http://www.bandsintown.com/event/4924294?app_id=epfl,Baden,908926,47.473031799999994,8.3086186,Roter Turm,,http://www.bandsintown.com/venue/908926
The Black Keys,http://www.bandsintown.com/TheBlackKeys,2012-01-31T20:00:00,4774314,http://www.bandsintown.com/event/4774314?app_id=epfl,Zürich,772987,47.3868602,8.516811500000001,Maag Music / Event Hall,25,http://www.bandsintown.com/venue/772987
Albisriederplatz,http://www.bandsintown.com/Albisriederplatz,2012-01-31T20:00:00,4915925,http://www.bandsintown.com/event/4915925?app_id=epfl,Zurich,903135,47.378021000000004,8.508807000000001,Maiers Theater,25,http://www.bandsintown.com/venue/903135
Ingo Oschmann,http://www.bandsintown.com/IngoOschmann,2012-01-31T20:30:00,4924295,http://www.bandsintown.com/event/4924295?app_id=epfl,Luzern,1007754,47.053447999999996,8.307227000000001,Musik-Restaurant Stadtkeller,,http://www.bandsintown.com/venue/1007754
Donaflor,http://www.bandsintown.com/Donaflor,2012-01-31T20:30:00,4924296,http://www.bandsintown.com/event/4924296?app_id=epfl,Zurich,10674,47.3666667,8.55,Moods,25,http://www.bandsintown.com/venue/10674
