artist_name,artist_url,event_venue.longitude,event_id,event_venue.id,event_venue.city,event_venue.region,event_venue.latitude,event_datetime,event_url,event_venue.url,event_venue.name
Joe Jackson,http://www.bandsintown.com/JoeJackson,7.5994308,3849324,703955,Basel,04,47.5639759,2010-10-31T20:00:00,http://www.bandsintown.com/event/3849324?app_id=epfl,http://www.bandsintown.com/venue/703955,Messe Basel
Biffy Clyro,http://www.bandsintown.com/BiffyClyro,7.5911254,3865499,169941,Basel,04,47.5638072,2010-10-31T20:00:00,http://www.bandsintown.com/event/3865499?app_id=epfl,http://www.bandsintown.com/venue/169941,Kaserne
Madison Violet,http://www.bandsintown.com/MadisonViolet,8.8939201,3665054,351781,Frauenfeld,,47.5610539,2010-10-31T20:00:00,http://www.bandsintown.com/event/3665054?app_id=epfl,http://www.bandsintown.com/venue/351781,Eisenwerk
Fatal Smile,http://www.bandsintown.com/FatalSmile,7.6,3752121,747119,Basel,04,47.5666667,2010-10-31T20:00:00,http://www.bandsintown.com/event/3752121?app_id=epfl,http://www.bandsintown.com/venue/747119,Konzertfabrik Z7
Pure Inc.,http://www.bandsintown.com/PureInc.,7.6,3752121,747119,Basel,04,47.5666667,2010-10-31T20:00:00,http://www.bandsintown.com/event/3752121?app_id=epfl,http://www.bandsintown.com/venue/747119,Konzertfabrik Z7
Mr. Irish Bastard,http://www.bandsintown.com/Mr.IrishBastard,7.598329,3805628,293614,Basel,Switzerland,47.547538,2010-10-31T20:00:00,http://www.bandsintown.com/event/3805628?app_id=epfl,http://www.bandsintown.com/venue/293614,Sommercasino
Kampf der Chöre,http://www.bandsintown.com/KampfDerCh%C3%B6re,9.1833333,3977465,773037,Kreuzlingen,15,47.65,2010-10-31T20:00:00,http://www.bandsintown.com/event/3977465?app_id=epfl,http://www.bandsintown.com/venue/773037,Bodensee-Arena Kreuzlingen
NEUE LOCATION,http://www.bandsintown.com/NeueLocation,7.691785,3977467,993456,Pratteln,03,47.520515,2010-10-31T20:00:00,http://www.bandsintown.com/event/3977467?app_id=epfl,http://www.bandsintown.com/venue/993456,Galery
No Age,http://www.bandsintown.com/NoAge,8.7222841,3977469,147243,Winterthur,25,47.4975354,2010-10-31T20:30:00,http://www.bandsintown.com/event/3977469?app_id=epfl,http://www.bandsintown.com/venue/147243,Salzhaus
Graziella Schazad,http://www.bandsintown.com/GraziellaSchazad,8.311746,3977472,334152,Lucerne,Lucerne,47.044019,2010-10-31T21:00:00,http://www.bandsintown.com/event/3977472?app_id=epfl,http://www.bandsintown.com/venue/334152,Schüür
Dani Wilde,http://www.bandsintown.com/DaniWilde,9.537765,3729604,931463,RüThi,Switzerland,47.29374,2010-10-31T20:30:00,http://www.bandsintown.com/event/3729604?app_id=epfl,http://www.bandsintown.com/venue/931463,Grütli
EVE,http://www.bandsintown.com/EVE,9.4,3929634,825917,Sankt Gallen,15,47.4666667,2010-10-31T23:00:00,http://www.bandsintown.com/event/3929634?app_id=epfl,http://www.bandsintown.com/venue/825917,Glow Club
Los Fastidios,http://www.bandsintown.com/LosFastidios,8.9666667,3888209,907608,Lugano,20,46.0,2010-10-31T21:00:00,http://www.bandsintown.com/event/3888209?app_id=epfl,http://www.bandsintown.com/venue/907608,Lugano Ride
