name,genre,origin,ambigous_result,no_result
Nat-Shizaru,"Ragga, Reggae, African Music, Dancehall",,,
Open Season & Jahcoustix,"Hip Hop, R'n'B",,,
Kummerbuben,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Albie Donnelly,"Hip Hop, R'n'B",,,
Thorsten Heitzmann,"Hip Hop, R'n'B",,,
Ab 18 Jahren,Pop,,,
J Who,"Hip Hop, R'n'B",,,
Donadio Family Ensemble,Pop,,,
Dalia Donadio,Pop,,,
Madlen Donadio,Pop,,,
Moreno Donadio,Pop,,,
Toni Donadio,Pop,,,
Aliéksey Vianna Trio convida Bodo Maier,"Jazz, Blues, Soul",,,
Bodo Maier,"Jazz, Blues, Soul",,,
Aliéksey Vianna,"Jazz, Blues, Soul",,,
Stephan Kurmann,"Jazz, Blues, Soul",,,
Mauro Martins,"Jazz, Blues, Soul",,,
Hommage an Billie Holiday,"Jazz, Blues, Soul",,,
Tüli,"Hip Hop, R'n'B",,,
Dela Hüttner,"Jazz, Blues, Soul",,,
Adrian Mira,"Jazz, Blues, Soul",,,
Samir Böhringer,"Jazz, Blues, Soul",,,
The Escalator Haters,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Vizediktator,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Wilde,Pop,,,
Peter Maffay feat. Gölä,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Swiss Yerba Buena Jazz Band,"Jazz, Blues, Soul",Switzerland,,
Sickret,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Taste My Sweet Revenge,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Live: Pyrit,"Hip Hop, R'n'B",,,
DJs Jamie Rodigan,"Hip Hop, R'n'B",United Kingdom,,
Lukie Wyniger,"Hip Hop, R'n'B",,,
DJs Audio Dope,"Hip Hop, R'n'B",,,
Feola & Ka tschi,"Hip Hop, R'n'B",,,
CNG,"Hip Hop, R'n'B",,,
Ba Du,"Hip Hop, R'n'B",,,
K Evans,"Hip Hop, R'n'B",,,
Lorenzo,"Hip Hop, R'n'B",,,
DJs Alex Terry,"Hip Hop, R'n'B",,,
Algeriii,"Hip Hop, R'n'B",,,
Ceem,"Hip Hop, R'n'B",,,
YouDubs,"Hip Hop, R'n'B",,,
Zyzz,"Hip Hop, R'n'B",,,
Flores,"Hip Hop, R'n'B",,,
Soyez,"Hip Hop, R'n'B",,,
DJs Nika,"Hip Hop, R'n'B",,,
Ruben,"Hip Hop, R'n'B",,,
Rockaway DJs,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Burning Cloud Sound,"Hip Hop, R'n'B",,,
Hot Running Blood,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Djamanawak,"Jazz, Blues, Soul",,,
Los Dos,"Rock, Indie, Punk, Heavy Metal, Gothic",,,
Delacave,Electronic,,,
Venrte de Biche,Electronic,,,
Zad Kokar,Electronic,,,
After-Show: DJ Triple Alliance,Electronic,,,
Tobi Gmür,Pop,,,
