name,origin,genre
Wilde,NaN,Pop
Peter Maffay feat. Gölä,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Swiss Yerba Buena Jazz Band,Switzerland,"Jazz, Blues, Soul"
Sickret,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Taste My Sweet Revenge,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Live: Pyrit,NaN,"Hip Hop, R'n'B"
DJs Jamie Rodigan,United Kingdom,"Hip Hop, R'n'B"
Lukie Wyniger,NaN,"Hip Hop, R'n'B"
DJs Audio Dope,NaN,"Hip Hop, R'n'B"
Feola & Ka tschi,NaN,"Hip Hop, R'n'B"
CNG,NaN,"Hip Hop, R'n'B"
Ba Du,NaN,"Hip Hop, R'n'B"
K Evans,NaN,"Hip Hop, R'n'B"
Lorenzo,NaN,"Hip Hop, R'n'B"
DJs Alex Terry,NaN,"Hip Hop, R'n'B"
Algeriii,NaN,"Hip Hop, R'n'B"
Ceem,NaN,"Hip Hop, R'n'B"
YouDubs,NaN,"Hip Hop, R'n'B"
Zyzz, Soviet Union (now Russia),"Hip Hop, R'n'B"
Flores,NaN,"Hip Hop, R'n'B"
Soyez,NaN,"Hip Hop, R'n'B"
DJs Nika,NaN,"Hip Hop, R'n'B"
Ruben,NaN,"Hip Hop, R'n'B"
Rockaway DJs,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Burning Cloud Sound,NaN,"Hip Hop, R'n'B"
Hot Running Blood,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Djamanawak,NaN,"Jazz, Blues, Soul"
Los Dos,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Delacave,NaN,Electronic
Venrte de Biche,NaN,Electronic
Zad Kokar,NaN,Electronic
After-Show: DJ Triple Alliance,NaN,Electronic
Tobi Gmür,NaN,Pop
Gangrenomity,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
King Pepe & Le Rex,NaN,Pop
Raphael Walsers Gangart,NaN,"Jazz, Blues, Soul"
Tobias Meier,NaN,"Jazz, Blues, Soul"
Marc Méan,NaN,"Jazz, Blues, Soul"
Jonas Ruther,NaN,"Jazz, Blues, Soul"
Jaël,NaN,Pop
Cédric Monnier,NaN,Pop
Domi Schreiber,NaN,Pop
Maryam Hammad,NaN,Pop
Aurèle Louis,NaN,Pop
Akustiktour,NaN,Pop
Heidi Happy,NaN,Pop
Ephrem Lüchinger,NaN,Pop
Christmas Tour,NaN,Pop
Divine,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Kissin Black,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Bubaran,NaN,"Jazz, Blues, Soul"
Mats Spillmann,NaN,"Jazz, Blues, Soul"
Bernhard Bamert,NaN,"Jazz, Blues, Soul"
Lionel Friedli,NaN,"Jazz, Blues, Soul"
Trauffer,NaN,Pop
DJ Mingo,NaN,"Ragga, Reggae, African Music, Dancehall"
Tribu Project,NaN,Pop
DJs A-Train,NaN,"Hip Hop, R'n'B"
Gro,NaN,"Hip Hop, R'n'B"
Jonty Harrison,NaN,Electronic
Japan Suicide,Japan,"Rock, Indie, Punk, Heavy Metal, Gothic"
Cocaine Piss,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Kataxnia,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Devis World Of Sound,NaN,Pop
Etienne Merula & Etienne,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJ CNG & Stimulus,NaN,"Hip Hop, R'n'B"
The Peppermint Tea Group,NaN,Pop
Marco Mengoni, Italy,Pop
Guidance,United States,Electronic
The Jackson Singers,NaN,Pop
Christina Jaccard,NaN,Pop
Daniel Pezzotti,NaN,Pop
Andrea Wiesli,NaN,Pop
Karacan Kombo,NaN,"Jazz, Blues, Soul"
Awesome Arnold,NaN,Pop
Two and Yuna,NaN,Pop
Chantal Krebs,NaN,Pop
Luzian Graber,NaN,Pop
XTR Human,NaN,Electronic
DJ Pumuckel,NaN,Electronic
Jaël Akustiktrio feat. Vokalensemble Suppléments Musicaux,NaN,Pop
Full Steam Jazzband,NaN,"Jazz, Blues, Soul"
Guy Krneta & Hausquartet,NaN,"Jazz, Blues, Soul"
Isa Wiss,NaN,"Jazz, Blues, Soul"
Christoph Baumann,NaN,"Jazz, Blues, Soul"
Hämi Hämmerli,NaN,"Jazz, Blues, Soul"
Tony Renold,NaN,"Jazz, Blues, Soul"
Literaturkonzert,NaN,"Jazz, Blues, Soul"
DJ Hasu,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Tenzking,NaN,"Hip Hop, R'n'B"
Mwp,NaN,"Hip Hop, R'n'B"
Ali Baba Sound feat. Junior Indian & Realert,India,"Hip Hop, R'n'B"
DJs Pfund,NaN,"Hip Hop, R'n'B"
Certified,NaN,"Hip Hop, R'n'B"
DJs Lee van Dowski,NaN,"Hip Hop, R'n'B"
Captain Teis,NaN,"Hip Hop, R'n'B"
DJ Mykel Rozenberg,NaN,"Hip Hop, R'n'B"
DJs Tomstone,NaN,"Hip Hop, R'n'B"
Skilly,NaN,"Hip Hop, R'n'B"
Philly,NaN,"Hip Hop, R'n'B"
DJs Cochano,NaN,"Hip Hop, R'n'B"
Boombaztic,NaN,"Hip Hop, R'n'B"
Don Juan,NaN,"Hip Hop, R'n'B"
Larissa Bretscher,NaN,Pop
Christian Wyss,NaN,Pop
Jeremias Keller,NaN,Pop
DJs Two-M,NaN,"Hip Hop, R'n'B"
U.R.S,NaN,"Hip Hop, R'n'B"
Sebastian,NaN,"Hip Hop, R'n'B"
Effie's Beast,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Das Pferd,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
DJs Melt,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Raimondo P.,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Tomi,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Drïzella,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Dieter Gröflin,NaN,"Jazz, Blues, Soul"
Peter Wicki ,NaN,"Jazz, Blues, Soul"
Sebastian Saraceno,NaN,"Jazz, Blues, Soul"
Toni Saraceno,NaN,"Jazz, Blues, Soul"
Normahl,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Feinwaschmittel,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
B&W Chocolate Howlers,NaN,"Jazz, Blues, Soul"
DJs Urban Hands,NaN,"Hip Hop, R'n'B"
Livin,NaN,"Hip Hop, R'n'B"
DJs Alex Dallas,NaN,"Hip Hop, R'n'B"
John Doe,NaN,"Hip Hop, R'n'B"
DJ Laslow,NaN,"Hip Hop, R'n'B"
Hosted by DJ LXL,NaN,"Hip Hop, R'n'B"
Rae Spoon,Alberta,Pop
DJ Scarlett,NaN,Pop
DJ Jazzylized,NaN,"Hip Hop, R'n'B"
Worst Family,NaN,"Hip Hop, R'n'B"
Faber,NaN,Pop
Am Kap & Donnie Darksome,NaN,Pop
Manolo Panic,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Live: Winston Francis,Jamaica,"Rock, Indie, Punk, Heavy Metal, Gothic"
Rude Rich & The High Notes,Netherlands,"Rock, Indie, Punk, Heavy Metal, Gothic"
After-Party: Ba Ba Boom Alstar DJs,NaN,"Rock, Indie, Punk, Heavy Metal, Gothic"
Nick Africano & David Hope,NaN,Pop
