artist_name,artist_url,event_venue.longitude,event_url,event_venue.region,event_datetime,event_venue.id,event_venue.url,event_venue.latitude,event_venue.name,event_id,event_venue.city
Outl4w,http://www.bandsintown.com/Outl4w,8.9666667,http://www.bandsintown.com/event/323557?app_id=epfl,20,2007-05-19T23:45:00,136724,http://www.bandsintown.com/venue/136724,46.0,Nextpunk Festival,323557,Lugano
The Lemonheads,http://www.bandsintown.com/TheLemonheads,7.151038,http://www.bandsintown.com/event/464466?app_id=epfl,Etr,2007-05-20T00:00:00,275156,http://www.bandsintown.com/venue/275156,46.79489,Fri-Son,464466,Fribourg
The Icarus Line,http://www.bandsintown.com/TheIcarusLine,7.151038,http://www.bandsintown.com/event/464466?app_id=epfl,Etr,2007-05-20T00:00:00,275156,http://www.bandsintown.com/venue/275156,46.79489,Fri-Son,464466,Fribourg
Valient Thorr,http://www.bandsintown.com/ValientThorr,7.5166667,http://www.bandsintown.com/event/316351?app_id=epfl,18,2007-05-20T20:00:00,199638,http://www.bandsintown.com/venue/199638,47.2333333,Kofmehl w Fu Manchu,316351,Solothurn
The Lemonheads,http://www.bandsintown.com/TheLemonheads,7.5911254,http://www.bandsintown.com/event/464443?app_id=epfl,04,2007-05-21T00:00:00,169941,http://www.bandsintown.com/venue/169941,47.5638072,Kaserne,464443,Basel
The Icarus Line,http://www.bandsintown.com/TheIcarusLine,7.5911254,http://www.bandsintown.com/event/464443?app_id=epfl,04,2007-05-21T00:00:00,169941,http://www.bandsintown.com/venue/169941,47.5638072,Kaserne,464443,Basel
Yesterday & Today,http://www.bandsintown.com/YesterdayAndToday,7.55,http://www.bandsintown.com/event/464461?app_id=epfl,18,2007-05-23T00:00:00,169951,http://www.bandsintown.com/venue/169951,47.1833333,Rockpalast,464461,Biberist
Y&T,http://www.bandsintown.com/YAndT,7.55,http://www.bandsintown.com/event/464461?app_id=epfl,18,2007-05-23T00:00:00,169951,http://www.bandsintown.com/venue/169951,47.1833333,Rockpalast,464461,Biberist
Friska viljor,http://www.bandsintown.com/FriskaViljor,8.70794,http://www.bandsintown.com/event/464570?app_id=epfl,Switzerland,2007-05-23T00:00:00,45985,http://www.bandsintown.com/venue/45985,47.494678,Gaswerk,464570,Winterthur
NORMANDIE,http://www.bandsintown.com/NORMANDIE,8.55,http://www.bandsintown.com/event/6311032?app_id=epfl,25,2007-05-23T19:00:00,1721079,http://www.bandsintown.com/venue/1721079,47.3666667,Alpenrockhouse,6311032,Zurich
