club_adress,club_name,date,artiste
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 29 Dec 2012",Namito
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 29 Dec 2012",Nici Faerber
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Anja Schneider
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Pan-Pot
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Highgrade Disharmonic Orchestra
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Todd Bodine
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Tom Clark
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Philip Bader
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Daniel Dreier
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Sebo K
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Mihai Popoviciu
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Jens Bond
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Ray Okpara
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 11 Aug 2012",Dachshund
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 May 2012",Knobs
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 Nov 2011",Pikaya
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 Nov 2011",Luca Torre
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 Nov 2011",Timoteo
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Sat, 19 Nov 2011",Marco De Rosa
"Kanonengasse 16; 8004, Zürich", Alte Kaserne,"Fri, 4 Nov 2011",Andri
