ambigous_result,genre,name,no_result,origin
0,alternative dance,Hadouken!,0,
0,,BAD NELSON b2b RIOT BOY,1,
1,,Al Comet,0,
0,,Mood Ticket,0,
0,,DJ DMS,1,
1,,Das Duo,0,
0,,Amiant,1,
0,,Corin Martin,1,
0,hardstyle,DJ Zany,0,
0,deep big room,Coone,0,
0,acid house,Bam Bam,0,
0,deep hardstyle,Art of Fighters,0,
0,dark hardcore,AniMe,0,
0,,DJ DELICIOUS DAN,1,
0,,Johan Jacquemettaz,1,
0,,aka St.Paul,1,
1,,Princess,0,
0,electro,DJ Magic Mike,0,
0,,Tres Skurwysyns,1,
0,,Cédric Gysler,1,
1,,FIMO,0,
0,,Yannick Barman et Pascal Emonet,1,
0,,Xavier Moillen,1,
0,,Jann Bronski,1,
0,,Jestics,1,
0,acid jazz,Tosca,0,
0,modern performance,Jack Quartet,0,
0,classical,Maurizio Pollini,0,
0,,Du vent dans mes mollets,1,
1,,Edesse,0,
0,,MICHEL TELO NA BALADA GENÈVE,1,
0,,Orig USTER,1,
0,,PATRICK BISHOP ZÜRICH,1,
0,brutal death metal,Six Feet Under,0,
0,,Six Feet Under PRATTELN,1,
0,fingerstyle,Estas Tonne,0,
0,,Menuhin's Heritage I,1,
1,,Matteo Spedicati,0,
0,deep melodic euro house,Petar Dundov,0,
1,,LAD,0,
0,ambient dub techno,Resoe,0,
1,,REAS,0,
1,,Anonym,0,
0,dub techno,Mikkel Metal,0,
0,acid house,Marshall Jefferson,0,
0,,Alexa James,0,
0,,Top Of Switzerland,1,
0,,COOP SUPERCARD NIGHT USTER,1,
1,,Brian Lopez,0,
0,alternative country,Giant Giant Sand,0,
0,,CHOO CHOO ZÜRICH,1,
1,,Ingrid Lukas,0,
0,,w Norma Jean,1,
0,,Nations Afire,0,
1,,Schwa,0,
0,,Vatsgoed,1,
0,,Frankstarr,0,
0,,Fez Momo,1,
0,,Mothers Of Charleston,0,
0,alternative metal,Crowbar,0,
0,,BIGGLES ZÜRICH,1,
0,groove metal,Jasta,0,
0,,BimBadaBoum Festival 2012 CHENE,1,
0,alternative rock,NADA SURF,0,
0,,Support ZÜRICH,1,
1,,Black Warrior,0,
0,,AIR V,1,
0,,Carte Blanche À Truls Mork ROUGEMONT,1,
0,,Carte Blanche À Truls Mork,1,
0,,IMERUAT,1,
0,,Blood Bound,1,
0,gothic americana,C. Gibbs,0,
0,,Alek Sys,1,
0,,T-rony,1,
0,,D-ANDY,1,
0,,Helber Gun live,1,
0,,DJ Gibson Praise,1,
0,,Shuffle (FR),1,
0,experimental,Nico,0,
0,deep disco house,WASHERMAN,0,
0,,Ron Shiller,1,
1,,The Clap,0,
0,,ABBA Gold 2012 Geroldswil GEROLDSWIL/ZH,1,
1,,DJ Seherezade,0,
0,,Timowood,1,
0,,Jackatek,1,
0,,Sophie Watkins,0,
0,,DiscoD,1,
0,,Kyle Venkman,1,
0,alternative metal,NAPALM DEATH,0,
0,,Doobious,0,
1,,Basshead,0,
0,,Beatis,1,
0,,Nikola Grebovic,0,
0,,Dj Duckk,1,
0,,Royal Arena Festival 2012,1,
0,french folk pop,Les Fils de Teuhpu,0,
0,,. Visuals by Akinetik.,1,
1,,GARANCE,0,
0,,Recital Kopatchinskaja,1,
0,,Moonkeys Music,1,
0,,Recital Fazil Say SAANEN,1,
1,,HB,0,
0,,Madonna VIP,1,
0,,Madonna ZÜRICH,1,
0,bass trap,Bassnectar,0,
1,,Line Up,0,
0,,Racker,1,
0,,Visuals by Indefinitive VJ,1,
0,hard glam,The Gloria Story,0,
0,,Chris de Rebel,1,
0,,Monoteque,0,
1,,Damon Paul ,0,
0,glam metal,Ted Poley,0,
0,deep soul house,Sound Stream,0,
0,,Marco Trinkler,1,
0,russian pop,Reflex,0,
1,,ursprung,0,
0,dark minimal techno,MicRoCheep & Mollo,0,
1,,Dalcan,0,
0,,Rolf Imhof,0,
1,,X4,0,
0,compositional ambient,MOGWAI,0,
0,,Gfo,1,
0,,Akirahawks,1,
0,,Shingo Suwa,0,
0,,Shingo suwa,0,
1,,X1,0,
0,,PLAYLOVE,1,
0,,SUNDYATA REGGAE,1,
1,,A3,0,
0,big room,Robbie Rivera,0,
0,shimmer pop,Jonquil,0,
1,,Radi,0,
0,freak folk,Gravenhurst,0,
0,,Matinee Des Jeunes Etoiles V,1,
0,,Matinee Des Jeunes Etoiles V GSTAAD,1,
0,,BEN LEMONZ - DJ/PRODUCER,1,
1,,K6,0,
1,,K5,0,
1,,K4,0,
0,,Swiss International Bodypainting Award,1,
0,,Menuhin Festival Gstaad Brunchkonzert ROUGEMONT,1,
0,,Menuhin Festival Gstaad Brunchkonzert,1,
0,fingerstyle,Pierre Bensusan,0,
0,,der Midlife Dixieland Jazzband,1,
1,,Matinee,0,
0,,Kids on Tour,1,
0,,Barnyard Tea,0,
1,,X5,0,
0,,Some Like It Hot,0,
1,,X3,0,
0,covertrance,X6,0,
1,,X7,0,
1,,The Bots,0,
1,,Sascha Luxx,0,
0,,FAUVE ZÜRICH,1,
0,,Alborosie ZÜRICH,1,
1,,Touche Amore,0,
0,,Opernfestival Riehen 2012,1,
0,,Anna Bolena,0,
0,,Anna Bolena RIEHEN,1,
0,,THE RAVENERS ZÜRICH,1,
0,,Thorbjørn Risager Band,1,
0,,MARTIN SOLVEIG LAUSANNE,1,
0,alternative dance,of Montreal,0,
0,,Zombidou,1,
0,,Summerstage 2012 Sportfreunde Stiller Tim Bendzko We invented Paris MÜNCHENSTEIN,1,
0,,SIGNORI MISTERIOSI ZÜRICH,1,
0,,Camping Access,1,
1,,FR,0,
0,albuquerque indie,The Shins,0,
0,,Klavierabend Reto Reichenbach ZWEISIMMEN,1,
0,,Klavierabend Reto Reichenbach,1,
0,,Y6,0,
0,,Summerstage 2012 GOLD Sportfreunde Stiller Tim Bendzko We invented Paris MÜNCHENSTEIN,1,
0,bass music,NGUZUNGUZU,0,
0,,Jin Chillah,1,
1,,DR FEELGOOD,0,
0,,LUBOS BENA,0,
0,finnish metal,LENINGRAD COWBOYS,0,
1,,MARCO MARCHI & THE MOJO WORKERS,0,
0,,Summerstage 2012 PLATIN Sportfreunde Stiller Tim Bendzko We invented Paris MÜNCHENSTEIN,1,
0,,Shaggy SOLOTHURN,1,
0,,2-Tages  Ticket,1,
